station_name,location,type,latitude,longitude
Stesen LRT Pudu,"Stesen Pudu, Jalan Sarawak, Pudu, 55200 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.1470725,101.716104
Stesen Chan Sow Lin,"Stesen Chan Sow Lin, Jalan Chan Sow Lin, Pudu, 55200 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.125437,101.713447
Cheras LRT station,"Jalan Jelawat Satu and Jalan 3/12, (northern) Sungai Besi-Taman Ikan Emas border, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Salak Selatan LRT station,"Jalan Sungai Besi, Salak South, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Bandar Tun Razak LRT station,"Persiaran Ikhlas, Bandar Tun Razak, Kuala Lumpur, Malaysia.",LRT,3.091532,101.712893
Bandar Tasik Selatan station,"Kuala Lumpur Middle Ring Road 2, Bandar Tasik Selatan, Kuala Lumpur, Malaysia.",LRT,3.071825,101.716913
Sungai Besi station,"Sungai Besi, Kuala LumpurMalaysia",LRT,3.065979,101.712342
Bukit Jalil LRT station,"Bukit Jalil, Kuala Lumpur, Malaysia.",LRT,3.057827,101.674269
Sri Petaling LRT station,"Sri Petaling, Kuala Lumpur, Malaysia.",LRT,3.068288,101.684762
Awan Besar LRT station,"Bukit OUG, Kuala Lumpur, Malaysia.",LRT,3.062206,101.664358
Muhibbah LRT station,"Kampung Muhibbah, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Alam Sutera LRT station,"Alam Sutera, Bandar Kinrara, SelangorMalaysia",LRT,-6.243771,106.653832
Kinrara BK 5 LRT station,"Bukit Jalil Highway  Bandar Kinrara 2  47180, Puchong, SelangorMalaysia",LRT,3.043339,101.641019
IOI Puchong Jaya LRT station,"Damansara–Puchong Expressway  Bandar Puchong Jaya  47170 Puchong, SelangorMalaysia",LRT,3.039964,101.627957
Pusat Bandar Puchong LRT station,"Damansara–Puchong Expressway  Pusat Bandar Puchong  47160 Puchong, SelangorMalaysia",LRT,3.036029,101.616056
Taman Perindustrian Puchong LRT station,"Damansara–Puchong Expressway  Taman Perindustrian Puchong  47100 Puchong, SelangorMalaysia",LRT,3.011881,101.612986
Bandar Puteri LRT station,"Jalan Puchong–Dengkil  Bandar Puteri Puchong  47100, Puchong, SelangorMalaysia",LRT,3.02364,101.618385
Puchong Perdana LRT station,"Persiaran Puchong Perdana  Taman Puchong Perdana  47100, Puchong, SelangorMalaysia",LRT,3.03955,101.62447
Puchong Prima LRT station,"Persiaran Puchong Permai  Taman Puchong Prima  47150, Puchong, SelangorMalaysia",LRT,3.005267,101.606781
Stesen LRT Miharja,"Stesen Miharja, Jalan 1/93, Taman Miharja, 55200 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.1470725,101.716104
Stesen Maluri,"Stesen Maluri, Jalan Cheras, 56100 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.12828,101.737233
Stesen LRT Pandan Jaya,"Stesen Pandan Jaya, Persiaran Pandan 1, Pandan Jaya, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.144045,101.765455
Stesen LRT Pandan Indah,"Stesen Pandan Indah, Off Jalan Pandan Indah 20, Pandan Indah, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.144045,101.765455
Stesen LRT Cempaka,"Stesen Cempaka, Jalan Cempaka 8, Taman Cempaka, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.13922,101.748311
Stesen LRT Cahaya,"Stesen Cahaya, Jalan Pandan Cahaya 1/1, Pandan Cahaya, 68000 Ampang Jaya, Selangor, Malaysia.",LRT,3.138773,101.756844
Stesen LRT Ampang,"Stesen Ampang, Jalan Ampang, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",LRT,3.147792,101.762239
